J,K,network_size,sample_size,rep,runtime_sec,num_binary,num_ct,num_constr,m_sol
5,5,5*5,250,2,27.308421624999028,2510,25,40,"[[0.         0.         0.         0.         3.21727566]
 [5.04757479 0.         4.73768229 0.         0.        ]
 [0.         8.38942743 0.         0.         0.17439681]
 [3.3409968  0.         0.         0.         0.        ]
 [0.13022148 0.         0.         0.         1.85864123]]"
5,5,5*5,250,3,7.336851166000997,2510,25,40,"[[0.         0.         0.         0.         7.90162172]
 [0.41851561 0.         3.54990243 4.54017776 0.74700033]
 [7.81424141 0.         0.         0.         0.        ]
 [0.         0.         1.65957701 0.         0.        ]
 [0.         0.         1.42893692 0.         0.        ]]"
5,5,5*5,250,4,19.289883125002234,2510,25,40,"[[0.         2.9172712  0.         0.         0.        ]
 [0.         4.52839752 0.         0.         5.31137901]
 [3.94476046 0.         0.         0.         0.15882015]
 [2.43712321 0.         4.35453166 0.         0.        ]
 [0.         0.         4.81306808 0.         0.        ]]"
5,5,5*5,250,5,42.15716633299962,2510,25,40,"[[3.39551964 0.         0.67227897 0.         0.        ]
 [0.         3.92005405 0.         0.         0.        ]
 [0.         1.3778657  2.52703579 0.51739122 0.        ]
 [0.         0.         5.74708594 0.         0.        ]
 [0.         0.         0.         5.53650868 0.        ]]"
5,5,5*5,500,1,205.23737345799964,5010,25,40,"[[0.         0.         0.         0.         0.        ]
 [1.6084156  5.69252849 0.         0.         2.17696559]
 [0.         0.         6.84018273 0.         2.08697704]
 [0.         0.         0.         3.0881697  0.        ]
 [0.         0.         0.         1.05111663 0.07539661]]"
5,5,5*5,500,2,271.6161724170015,5010,25,40,"[[0.00000000e+00 0.00000000e+00 2.52822415e+00 0.00000000e+00
  0.00000000e+00]
 [7.80625938e+00 0.00000000e+00 1.03707324e+00 0.00000000e+00
  2.23108729e-01]
 [0.00000000e+00 2.95299453e+00 0.00000000e+00 1.96960625e-02
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 5.63021004e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.21497298e-03 1.21785274e+00
  0.00000000e+00]]"
5,5,5*5,500,3,32.13860770899919,5010,25,40,"[[0.         0.         0.         1.35951405 0.        ]
 [3.44294878 3.33151797 0.         0.         0.        ]
 [0.         0.         0.28202586 0.         3.59611296]
 [0.         1.06866296 0.         4.68899347 0.        ]
 [0.94989478 0.         6.38526534 0.         0.        ]]"
5,5,5*5,500,4,149.91200300000128,5010,25,40,"[[0.         0.         0.         0.         0.        ]
 [0.         0.         4.61304417 0.         0.33825194]
 [5.50699022 2.57175204 0.         0.         0.        ]
 [0.24294101 0.         0.         7.34825339 1.64825528]
 [2.34077821 0.         0.         0.         0.        ]]"
5,5,5*5,500,5,3602.788533500003,5010,25,40,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.39394229e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [6.19330396e+00 0.00000000e+00 2.69406777e+00 0.00000000e+00
  4.93147331e-07]
 [0.00000000e+00 1.56412025e+00 2.78973431e-01 9.14056844e-01
  2.16445985e+00]
 [0.00000000e+00 0.00000000e+00 4.34493234e-04 0.00000000e+00
  0.00000000e+00]]"
5,5,5*5,1000,1,3601.107209499998,10010,25,40,"[[0.         0.         1.84244243 0.         0.09604457]
 [0.         0.         0.         0.         1.6205972 ]
 [0.         0.         0.         0.         0.        ]
 [0.         3.98394955 0.         4.38284118 0.        ]
 [3.73723851 2.99175136 0.         0.         2.09834472]]"
5,5,5*5,1000,2,3601.1962891250005,10010,25,40,"[[0.00000000e+00 2.38459171e+00 4.44089210e-16 2.51626066e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 2.76433218e+00 1.03379863e+00 0.00000000e+00
  2.47646519e+00]
 [0.00000000e+00 0.00000000e+00 1.39111155e+00 0.00000000e+00
  0.00000000e+00]
 [2.10817632e+00 0.00000000e+00 4.42649588e-01 0.00000000e+00
  0.00000000e+00]]"
5,5,5*5,1000,3,12.230496666001272,10010,25,40,"[[0.00000000e+00 3.94375805e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]
 [2.38894337e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
  4.76816348e+00]
 [0.00000000e+00 0.00000000e+00 5.46541501e+00 2.31734481e+00
  3.12456481e-01]
 [4.44089210e-16 2.27629464e+00 0.00000000e+00 0.00000000e+00
  6.78192411e-01]
 [4.13269677e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00]]"
5,5,5*5,1000,4,3600.9753490839976,10010,25,40,"[[0.         0.         0.         6.98665662 0.        ]
 [2.02551845 0.         0.         0.47118311 0.        ]
 [0.         0.         0.         0.         0.05344958]
 [0.         2.45431615 3.17426431 1.7579003  2.27432955]
 [0.         2.20810145 0.         0.         0.        ]]"
5,5,5*5,1000,5,3601.114804292003,10010,25,40,"[[3.32232921 0.         0.         0.         0.        ]
 [0.         1.32530419 0.         0.         0.        ]
 [0.         2.92107532 0.52178106 0.         0.        ]
 [4.01027162 0.         0.         2.09075888 0.        ]
 [0.         0.         0.         1.91267443 3.94089253]]"
5,5,5*5,1500,1,3601.4803790419974,15010,25,40,"[[5.35779245 0.         0.         0.         0.        ]
 [2.56596269 0.         0.         0.         1.1833586 ]
 [0.         1.58511807 0.         0.48145709 6.94990521]
 [0.         8.11383536 0.         0.         0.        ]
 [1.34986862 0.         0.         0.         0.        ]]"
5,5,5*5,1500,2,146.7396256669963,15010,25,40,"[[0.         1.33145457 0.72874475 0.         0.        ]
 [0.         0.         3.52053428 1.99261091 0.        ]
 [1.41291994 0.         1.37910253 0.         6.03725073]
 [0.         6.79047522 0.         0.         0.        ]
 [0.         0.         3.52524358 0.         0.        ]]"
5,5,5*5,1500,3,609.986323875004,15010,25,40,"[[2.0953177  1.64441977 0.11897077 2.78309061 0.        ]
 [0.         0.         0.         1.39684218 0.        ]
 [0.         3.32973962 0.         0.         1.67903427]
 [0.         0.         0.         3.3883096  0.        ]
 [0.         0.         3.59690059 0.         0.        ]]"
5,5,5*5,1500,4,3601.4254959579994,15010,25,40,"[[0.         0.         0.         0.         2.76057379]
 [0.         0.         1.40071    1.3193701  0.        ]
 [0.64528977 0.         0.         0.         0.        ]
 [0.         5.43333333 0.         0.         0.        ]
 [0.5271853  1.92830586 1.11736987 0.         4.95663745]]"
5,5,5*5,1500,5,3601.3743097920014,15010,25,40,"[[0.00000000e+00 0.00000000e+00 1.01750561e+00 1.86699824e+00
  9.39456925e-01]
 [3.58959282e-01 0.00000000e+00 6.13486518e+00 0.00000000e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 3.47563812e+00
  0.00000000e+00]
 [0.00000000e+00 1.31283527e+00 0.00000000e+00 1.79811719e+00
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 2.66223455e+00 2.66223456e-07
  0.00000000e+00]]"
